name,is_baseline,status,dat_file,t_max,x_tmax,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_043,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_043.dat,0.14927629515702245,0.35270541082164325,-5.418617429753247e-10,-1.4100489872936883e-10,0.19975446821939916,0.2667567241154775,0.26560579118767486,0.32892888685011706,0.2724690476862881,0.19097522182226867,-0.06440183923713895,-0.13886431998648469,-0.14927368108990674,-0.09763036763061508,-0.004242880410557356,0.10493465020083449
sample_044,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_044.dat,0.13450431348339614,0.2865731462925851,-5.418617429753247e-10,-1.4100489872936883e-10,0.25272568797062717,0.27421501286196087,0.26823177106785084,0.25491643829139515,0.23023097246694313,0.29954633340203446,-0.17681557389564456,-0.0396967534102165,-0.10906590349194978,-0.044684340984110296,-0.08299031966939198,0.12306336946512719
sample_045,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_045.dat,0.13179860538691615,0.3226452905811623,-5.418617429753247e-10,-1.4100489872936883e-10,0.27807930963875926,0.22259909622021726,0.28386011261003163,0.23378032476984503,0.29353826034873876,0.22039638572338027,-0.11665652384029053,-0.04416946557194011,-0.16049437285669865,-0.026466906419185893,-0.020521634402263192,0.13547049668090344
sample_046,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_046.dat,0.14111866208354767,0.3226452905811623,-5.418617429753247e-10,-1.4100489872936883e-10,0.19954050053577743,0.26469786220064795,0.30334699087094963,0.2567222987772787,0.2720662683186436,0.27249974811856237,-0.16842961707976561,-0.1120182848461106,-0.04958099381875038,-0.12971030882185147,-0.053914597474677056,0.07390991806168729
sample_047,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_047.dat,0.15937333063220127,0.30861723446893785,-5.418617429753247e-10,-1.4100489872936883e-10,0.2546438784194833,0.2893674305704902,0.3243891739932483,0.2985612794568252,0.34242656148702566,0.18305611228470292,-0.15371308602605394,-0.13935409903943496,-0.10334282186610308,-0.08341383248550167,-0.001600366800393313,0.12101438536537631
sample_048,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_048.dat,0.1403316686556232,0.3667334669338677,-5.418617429753247e-10,-1.4100489872936883e-10,0.17426329914499836,0.3049879619356133,0.2200669253193093,0.3290830905864378,0.31304010056895876,0.20974517036065507,-0.07413159367294507,-0.13895120207721282,-0.0563173548211857,-0.14308599569723665,-0.05906109715184359,0.11660589445756615
sample_049,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_049.dat,0.13609198771255648,0.3607214428857715,-5.418617429753247e-10,-1.4100489872936883e-10,0.27954073086820785,0.19952182880956384,0.2855793531417271,0.3238586087859024,0.32620197582591354,0.23080587378149067,-0.12056469235310363,-0.07607922179210873,-0.10428170113539595,-0.08431405343364845,0.009637360289141583,0.10760694223099827
sample_050,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_050.dat,0.13185424638161664,0.2945891783567134,-5.418617429753247e-10,-1.4100489872936883e-10,0.2441562864685059,0.24689056154632116,0.21710599700788902,0.2506159486864047,0.22039855358937646,0.2171933947151094,-0.11162956136393805,-0.13214210915743332,-0.07800312810413539,-0.1260876413531495,-0.00525234565583424,0.1306358787179141
sample_051,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_051.dat,0.14447120371501976,0.3607214428857715,-5.418617429753247e-10,-1.4100489872936883e-10,0.19334484155362894,0.29345338872893445,0.3408680884987225,0.2938389996728047,0.3056217283229453,0.21015748895691377,-0.06195738356904201,-0.08454790292769716,-0.09022567437403428,-0.06956418899344255,-0.037541858136589536,0.15732628751059596
sample_052,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_052.dat,0.11675544088348923,0.3006012024048096,-5.418617429753247e-10,-1.4100489872936883e-10,0.25864884141922884,0.26292738278401967,0.24220806379968376,0.2632445346850757,0.27851354138903184,0.2150485666903973,-0.06076632949154755,-0.06174822931141935,-0.03606290160816067,-0.031521821950440954,-0.03064600262173678,0.11366267868654766
