name,is_baseline,status,alpha,cl,cd,cm,ld,t_max,x_tmax,polar_file,dat_file,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_030,False,ok,2.0,0.6758,0.00558,-0.0853,121.1111111111111,0.12591810699139658,0.2865731462925851,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_030_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_030.dat,0.0015574793,-3.86697e-05,0.2445831967557356,0.2554733924028777,0.2724154623059979,0.1351510547536452,0.3251052509470057,0.2998241593554504,-0.0792617420465917,-0.1246914714205444,-0.0183855333604672,-0.1305203745420977,-0.0223851466120165,-0.0300908614315986
sample_031,False,ok,2.0,0.6135,0.00654,-0.0731,93.80733944954129,0.11829941977347425,0.24649298597194386,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_031_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_031.dat,0.0015574793,-3.86697e-05,0.2645736295262402,0.1798112530889965,0.3066920476909553,0.1347249652189677,0.2662505318486298,0.2136041572805981,-0.1594551311893989,-0.07322435005582,-0.0498949086057217,-0.040655631767438,-0.0068952461194127,-0.0552823430282122
sample_032,False,ok,2.0,0.801,0.00472,-0.1279,169.70338983050848,0.10670588903284003,0.37675350701402804,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_032_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_032.dat,0.0015574793,-3.86697e-05,0.1828094400251264,0.1844743785350489,0.3578218703237859,0.2119397587743797,0.3654597489531741,0.2894358183167761,-0.0718879110513073,-0.0480960827614187,0.031292747267678,-0.048718905465526,0.0746565472038612,-0.0668271086955574
sample_033,False,ok,2.0,0.7346,0.00511,-0.1114,143.7573385518591,0.12464959942939914,0.3607214428857715,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_033_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_033.dat,0.0015574793,-3.86697e-05,0.2253617188456316,0.1816427885994398,0.3286533241128797,0.2489634631294663,0.2956772785233079,0.3012733904144701,-0.1177565697366125,-0.0754300765454557,-0.0488769756933306,-0.0753905683516424,-0.0092568928994436,-0.0288649375566929
sample_034,False,ok,2.0,0.6253,0.00583,-0.0813,107.25557461406517,0.11044578703472971,0.23847695390781562,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_034_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_034.dat,0.0015574793,-3.86697e-05,0.2189961353756963,0.1742493655511368,0.3225224558329108,0.1469142327756541,0.245221379626075,0.2350541717023886,-0.1477557354830707,-0.110529094328953,0.042000930329654,-0.0268739706687733,-0.0385737653979482,-0.0606180943702372
sample_035,False,ok,2.0,0.7051,0.0061,-0.0882,115.59016393442622,0.10681926564487948,0.31462925851703405,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_035_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_035.dat,0.0015574793,-3.86697e-05,0.2635184469739045,0.2065150409233589,0.2961578373228707,0.1783562224986515,0.3170863751369947,0.3065560271054289,-0.0988972032902777,-0.0015137150983635,-0.0443317218958477,-0.01871842655486,-0.0104863376996917,-0.0818578186463513
sample_036,False,ok,2.0,0.6927,0.00572,-0.074,121.1013986013986,0.13097292019053586,0.2725450901803607,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_036_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_036.dat,0.0015574793,-3.86697e-05,0.2722241266832582,0.2683918292317571,0.3427550594143755,0.1660147563138587,0.2655616998179372,0.2384443082430588,-0.0939753645777877,-0.10131979209972,0.0040357132318533,-0.0650005235339823,-0.0331695689372815,-0.0515991460612557
sample_037,False,ok,2.0,0.7982,0.00664,-0.1159,120.21084337349397,0.11521046266453816,0.19839679358717432,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_037_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_037.dat,0.0015574793,-3.86697e-05,0.2480404995320552,0.2792423383810499,0.2876320502207059,0.153868412217071,0.3549567199477935,0.26967004398085,-0.1834592729711218,-0.0090007776931966,0.0384602419713539,-0.0138978917926782,0.0490071728386989,-0.0213022935958753
sample_038,False,ok,2.0,0.7351,0.006,-0.1071,122.51666666666667,0.12360076280862353,0.2885771543086172,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_038_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_038.dat,0.0015574793,-3.86697e-05,0.1745842042415524,0.3021334382595689,0.3053172455853088,0.1926595662208153,0.2567694899727007,0.2442670232226063,-0.1859983603811369,-0.0187294692949851,-0.013267490118042,-0.1093194444133566,0.0468962241794952,0.0038318637868303
sample_039,False,ok,2.0,0.805,0.00544,-0.1234,147.97794117647058,0.1099255956454307,0.2945891783567134,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_039_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_039.dat,0.0015574793,-3.86697e-05,0.1695827343111053,0.2566552214109869,0.3304675763178104,0.1744574112770173,0.3150512708603369,0.2502011920445957,-0.083636678785975,-0.0729322930281512,0.0400439118412966,-0.0232184205818643,0.039481239793212,0.0184995851511597
